GENE	0hr	1hr	3hr	24hr
chr11:94611226-94611256	0.198753	0.0210005	0.0387099	0.0241199
chr11:94829575-94829605	0.283932	0.0840021	0.0580649	0.0482398
chr11:94839946-94839976	0.198753	0.0210005	0.0580649	0.00120599
chr11:94947871-94947901	0.170359	0.042001	0.019355	0.0241199
chr11:95149739-95149769	0.198753	0.042001	0.0967748	0.0120599
chr11:95705685-95705715	0.312325	0.042001	0.0387099	0.192959
chr11:95951839-95951869	0.198753	0.126003	0.0019355	0.0361798
chr11:96049344-96049374	0.198753	0.00210005	0.0967748	0.0602997
chr11:96267181-96267211	0.0283932	0.210005	0.0774198	0.349738
chr11:96332044-96332074	0.170359	0.00210005	0.0387099	0.0482398
chr11:96372837-96372867	0.198753	0.00210005	0.0580649	0.0723597
chr11:96705025-96705055	0.00283932	0.168004	0.174195	0.168839
chr11:96807184-96807214	0.227146	0.0840021	0.019355	0.0361798
chr11:99057410-99057440	0.170359	0.0210005	0.019355	0.0120599
chr11:100525838-100525868	0.227146	0.147004	0.0387099	0.144719
chr11:100716398-100716428	0.198753	0.00210005	0.0387099	0.0241199
chr11:101110134-101110164	0.227146	0.0210005	0.019355	0.0361798
chr11:101863679-101863709	0.0283932	0.105003	0.270969	0.180899
chr11:102079795-102079825	0.00283932	0.189005	0.0580649	0.0844196
chr11:102124352-102124382	0.227146	0.042001	0.0774198	0.0120599
chr11:102171819-102171849	0.227146	0.0210005	0.0019355	0.0241199
chr11:102256360-102256390	0.0283932	0.0210005	0.0967748	0.205019
chr11:102364707-102364737	0.170359	0.0630016	0.0387099	0.0120599
chr11:102468735-102468765	0.198753	0.0630016	0.0774198	0.0361798
chr11:102599676-102599706	0.0283932	0.126003	0.135485	0.241199
chr11:102640414-102640444	0.0283932	0.168004	0.174195	0.241199
chr11:102643601-102643631	0.198753	0.042001	0.019355	0.0844196
chr11:102981418-102981448	0.170359	0.00210005	0.019355	0.0964795
chr11:103117145-103117175	0.312325	0.042001	0.0387099	0.156779
chr11:103185450-103185480	0.0283932	0.294007	0.0387099	0.0361798
chr11:103217432-103217462	0.198753	0.042001	0.019355	0.0241199
chr11:103357376-103357406	0.227146	0.042001	0.019355	0.0361798
chr11:103380126-103380156	0.00283932	0.189005	0.0580649	0.108539
chr11:103404664-103404694	0.255539	0.0210005	0.0774198	0.0602997
chr11:103591639-103591669	0.113573	0.315008	0.0967748	0.205019
chr11:103601458-103601488	0.567865	0.336008	0.251614	0.337678
chr11:103778784-103778814	0.227146	0.0630016	0.019355	0.0120599
chr11:103897288-103897318	0.198753	0.0840021	0.0967748	0.0241199
chr11:103917195-103917225	0.255539	0.00210005	0.0774198	0.0723597
chr11:104032794-104032824	0.198753	0.00210005	0.0967748	0.0361798
chr11:104261791-104261821	0.198753	0.0210005	0.0967748	0.0361798
chr11:104582570-104582600	0.255539	0.0840021	0.0580649	0.0361798
chr11:104636812-104636842	0.198753	0.105003	0.0387099	0.0120599
chr11:105126662-105126692	0.227146	0.0210005	0.15484	0.0482398
chr11:105181844-105181874	0.198753	0.0210005	0.0774198	0.0241199
chr11:105609403-105609433	0.283932	0.105003	0.0580649	0.108539
chr11:105673962-105673992	0.227146	0.042001	0.019355	0.0241199
chr11:105719625-105719655	0.00283932	0.0630016	0.212905	0.0964795
chr11:106078297-106078327	0.0283932	0.189005	0.135485	0.241199
chr11:106540714-106540744	0.227146	0.042001	0.0019355	0.0482398
chr11:106645332-106645362	0.198753	0.00210005	0.0580649	0.0844196
chr11:106936803-106936833	0.198753	0.00210005	0.019355	0.00120599
chr11:107405241-107405271	0.198753	0.0630016	0.0019355	0.0482398
chr11:107598731-107598761	0.454292	0.273007	0.0774198	0.289439
chr11:107854504-107854534	0.227146	0.0840021	0.019355	0.120599
chr11:108070546-108070576	0.227146	0.042001	0.0387099	0.0482398
chr11:108143576-108143606	0.198753	0.042001	0.0387099	0.0602997
chr11:108330402-108330432	0.198753	0.0210005	0.0774198	0.0241199
chr11:108406620-108406650	0.198753	0.0630016	0.0387099	0.0844196
chr11:108713546-108713576	0.0567865	0.210005	0.270969	0.0723597
chr11:109234543-109234573	0.227146	0.0840021	0.0019355	0.0120599
chr11:109387813-109387843	0.170359	0.00210005	0.0580649	0.0120599
chr11:110003133-110003163	0.198753	0.042001	0.019355	0.0241199
chr11:110160646-110160676	0.0283932	0.189005	0.0387099	0.180899
chr11:110185149-110185179	0.0567865	0.210005	0.15484	0.120599
chr11:110305918-110305948	0.0567865	0.252006	0.251614	0.192959
chr11:110356194-110356224	0.198753	0.042001	0.019355	0.0482398
chr11:110376878-110376908	0.511078	0.252006	0.15484	0.229139
chr11:110391617-110391647	0.198753	0.0210005	0.0387099	0.0120599
chr11:110471585-110471615	0.227146	0.0630016	0.019355	0.108539
chr11:110680884-110680914	0.198753	0.0210005	0.0967748	0.0361798
chr11:111134299-111134329	0.0283932	0.210005	0.019355	0.0120599
chr11:111216696-111216726	0.198753	0.0840021	0.0387099	0.0482398
chr11:111290681-111290711	0.0283932	0.042001	0.0387099	0.168839
chr11:111378124-111378154	0.227146	0.042001	0.0387099	0.0602997
chr11:111565475-111565505	0.255539	0.0630016	0.0967748	0.0482398
chr11:111599783-111599813	0.227146	0.105003	0.019355	0.0602997
chr11:111665974-111666004	0.0851797	0.168004	0.329034	0.337678
chr11:111666128-111666158	0.170359	0.00210005	0.0387099	0.00120599
chr11:111814721-111814751	0.198753	0.0210005	0.0387099	0.0482398
chr11:111854752-111854782	0.198753	0.00210005	0.0580649	0.0120599
chr11:111975349-111975379	0.227146	0.0630016	0.135485	0.108539
chr11:112280899-112280929	0.170359	0.00210005	0.0019355	0.0723597
chr11:112588346-112588376	0.454292	0.357009	0.11613	0.410038
chr11:113000896-113000926	0.198753	0.0210005	0.0019355	0.0844196
chr11:113379842-113379872	0.170359	0.0210005	0.019355	0.0120599
chr11:113494210-113494240	0.0283932	0.231006	0.19355	0.156779
chr11:113523281-113523311	0.170359	0.0210005	0.0019355	0.0120599
chr11:113710438-113710468	0.00283932	0.252006	0.0387099	0.0482398
chr11:113919120-113919150	0.0283932	0.189005	0.0774198	0.0482398
chr11:114076063-114076093	0.0567865	0.210005	0.19355	0.168839
chr11:114178221-114178251	0.227146	0.0630016	0.019355	0.0602997
chr11:114292014-114292044	0.0283932	0.315008	0.19355	0.265319
chr11:114463230-114463260	0.227146	0.042001	0.019355	0.0602997
chr11:114483228-114483258	0.255539	0.0210005	0.019355	0.0120599
chr11:114671466-114671496	0.170359	0.0210005	0.0580649	0.0723597
chr11:114732234-114732264	0.255539	0.0210005	0.0580649	0.132659
chr11:115656171-115656201	0.00283932	0.189005	0.0387099	0.0361798
chr11:116530418-116530448	0.227146	0.042001	0.019355	0.0482398
chr11:116632915-116632945	0.00283932	0.042001	0.15484	0.0602997
chr11:116852672-116852702	0.0567865	0.252006	0.11613	0.301499
chr11:116912897-116912927	0.170359	0.00210005	0.0967748	0.0361798
chr11:117027235-117027265	0.255539	0.126003	0.0580649	0.0964795
chr11:117070118-117070148	0.00283932	0.147004	0.11613	0.277379
chr11:117101030-117101060	0.00283932	0.0630016	0.174195	0.0482398
chr11:117117905-117117935	0.255539	0.0210005	0.11613	0.229139
chr11:117177761-117177791	0.198753	0.00210005	0.0580649	0.0361798
chr11:117202613-117202643	0.00283932	0.0630016	0.135485	0.144719
chr11:117226590-117226620	0.709831	0.567014	0.212905	0.566817
chr11:117319558-117319588	0.00283932	0.168004	0.19355	0.0602997
chr11:117324561-117324591	0.170359	0.0210005	0.019355	0.0241199
chr11:117819244-117819274	0.0283932	0.147004	0.135485	0.205019
chr11:117823173-117823203	0.198753	0.0630016	0.0387099	0.0120599
chr11:118186929-118186959	0.00283932	0.252006	0.0580649	0.0361798
chr11:118285976-118286006	0.255539	0.042001	0.0019355	0.0482398
chr11:118296137-118296167	0.255539	0.0630016	0.0580649	0.0361798
chr11:118364583-118364613	0.312325	0.0630016	0.0774198	0.108539
chr11:118559972-118560002	0.255539	0.0630016	0.019355	0.0241199
chr11:118604290-118604320	0.198753	0.105003	0.135485	0.0361798
chr11:118867023-118867053	0.0283932	0.0210005	0.174195	0.108539
chr11:118907128-118907158	0.227146	0.0840021	0.019355	0.0361798
chr11:119104993-119105023	0.227146	0.105003	0.0580649	0.0482398
chr11:119166491-119166521	0.0567865	0.189005	0.19355	0.120599
chr11:119178449-119178479	0.0567865	0.210005	0.174195	0.217079
chr11:119288150-119288180	0.283932	0.0630016	0.0019355	0.0964795
chr11:119321797-119321827	0.0567865	0.252006	0.0967748	0.108539
chr11:119757080-119757110	0.227146	0.042001	0.0019355	0.108539
chr11:119811031-119811061	0.0851797	0.210005	0.348389	0.205019
chr11:120229960-120229990	0.0851797	0.42001	0.387099	0.470338
chr11:120342752-120342782	0.227146	0.0210005	0.0774198	0.0361798
chr11:120432277-120432307	0.340719	0.147004	0.0774198	0.253259
chr11:120519233-120519263	0.227146	0.0840021	0.0019355	0.0723597
chr11:120780328-120780358	0.0567865	0.273007	0.135485	0.217079
chr11:120861671-120861701	0.00283932	0.0210005	0.19355	0.0361798
chr11:121063906-121063936	0.0567865	0.336008	0.329034	0.337678
chr11:121505467-121505497	0.227146	0.0840021	0.0967748	0.0241199
chr11:121541946-121541976	0.198753	0.0630016	0.0387099	0.0361798
chr11:121645750-121645780	0.227146	0.042001	0.0580649	0.00120599
chr11:121710614-121710644	0.00283932	0.189005	0.019355	0.0844196
chr11:121851695-121851725	0.227146	0.0630016	0.019355	0.0482398
chr11:121898414-121898444	0.0283932	0.189005	0.0387099	0.0602997
chr11:122045403-122045433	0.0283932	0.336008	0.11613	0.120599
chr11:122070186-122070216	0.0567865	0.126003	0.174195	0.265319
chr11:122090843-122090873	0.283932	0.126003	0.0019355	0.0482398
chr11:122218626-122218656	0.198753	0.126003	0.0387099	0.120599
chr11:122229634-122229664	0.255539	0.0630016	0.0387099	0.0844196
chr11:122264815-122264845	0.0283932	0.231006	0.0967748	0.132659
chr11:122692280-122692310	0.255539	0.0210005	0.0774198	0.0120599
chr11:122866458-122866488	0.00283932	0.126003	0.19355	0.144719
chr11:122890606-122890636	0.170359	0.0630016	0.0019355	0.108539
chr11:123199118-123199148	0.227146	0.0210005	0.0967748	0.0723597
chr11:123247375-123247405	0.312325	0.189005	0.0967748	0.229139
chr11:123736660-123736690	0.198753	0.042001	0.019355	0.0482398
chr11:123990712-123990742	0.227146	0.0210005	0.019355	0.0602997
chr11:124121810-124121840	0.198753	0.0630016	0.0967748	0.0361798
chr11:124168786-124168816	0.227146	0.0840021	0.019355	0.0602997
chr11:124329961-124329991	0.369112	0.126003	0.15484	0.156779
chr11:124493816-124493846	0.255539	0.0840021	0.0387099	0.0482398
chr11:124808993-124809023	0.198753	0.00210005	0.0387099	0.0602997
chr11:125128620-125128650	0.0283932	0.0840021	0.232259	0.0844196
chr11:125347723-125347753	0.00283932	0.0840021	0.174195	0.0241199
chr11:125355329-125355359	0.0283932	0.210005	0.019355	0.0602997
chr11:125472205-125472235	0.283932	0.042001	0.0580649	0.0844196
chr11:125682473-125682503	0.198753	0.00210005	0.11613	0.0482398
chr11:125874688-125874718	0.738224	0.441011	0.270969	0.566817
chr11:125891053-125891083	0.198753	0.0210005	0.11613	0.0361798
chr11:125936560-125936590	0.255539	0.042001	0.0580649	0.0361798
chr11:126181451-126181481	0.0283932	0.189005	0.0019355	0.0964795
chr11:126379125-126379155	0.00283932	0.042001	0.0019355	0.144719
chr11:128001987-128002017	0.198753	0.0210005	0.0387099	0.0482398
chr11:128180650-128180680	0.00283932	0.210005	0.11613	0.217079
chr11:128254005-128254035	0.227146	0.0840021	0.019355	0.0964795
chr11:128373002-128373032	0.227146	0.0630016	0.019355	0.0723597
chr11:128570765-128570795	0.0567865	0.0630016	0.19355	0.0844196
chr11:128602040-128602070	0.198753	0.00210005	0.0580649	0.0241199
chr11:128668116-128668146	0.198753	0.042001	0.0774198	0.0602997
chr11:128802791-128802821	0.283932	0.105003	0.135485	0.0602997
chr11:128831166-128831196	0.255539	0.147004	0.0967748	0.0602997
chr11:129219230-129219260	0.170359	0.00210005	0.0387099	0.0602997
chr11:129222940-129222970	0.255539	0.0210005	0.0387099	0.0120599
chr11:129507542-129507572	0.170359	0.0840021	0.0019355	0.0361798
chr11:129904312-129904342	0.170359	0.042001	0.0019355	0.0482398
chr11:129911149-129911179	0.227146	0.0210005	0.019355	0.132659
chr11:129960411-129960441	0.340719	0.0630016	0.019355	0.205019
chr11:130023735-130023765	0.198753	0.0840021	0.0774198	0.0241199
chr11:130246178-130246208	0.198753	0.042001	0.0967748	0.0844196
chr11:130489530-130489560	0.227146	0.042001	0.0019355	0.0964795
chr11:130579873-130579903	0.198753	0.0210005	0.019355	0.0241199
chr11:131859933-131859963	0.312325	0.147004	0.0774198	0.229139
chr11:131932995-131933025	0.227146	0.042001	0.0774198	0.0241199
chr11:132158884-132158914	0.00283932	0.189005	0.174195	0.156779
chr11:133255968-133255998	0.227146	0.0210005	0.0387099	0.0120599
chr11:134096975-134097005	0.170359	0.00210005	0.0774198	0.0602997
chr11:134552989-134553019	0.198753	0.00210005	0.0387099	0.0361798
chr12:356750-356780	0.198753	0.0630016	0.0387099	0.00120599
chr12:839410-839440	0.00283932	0.042001	0.0580649	0.217079
chr12:848868-848898	0.198753	0.0630016	0.0387099	0.0120599
chr12:1023607-1023637	0.312325	0.0840021	0.0019355	0.0241199
chr12:1280800-1280830	0.227146	0.0210005	0.0387099	0.0120599
chr12:2876522-2876552	0.0567865	0.0630016	0.212905	0.0723597
chr12:3068194-3068224	0.00283932	0.189005	0.0387099	0.0482398
chr12:4857901-4857931	0.0567865	0.273007	0.135485	0.373858
chr12:5167093-5167123	0.00283932	0.0630016	0.19355	0.132659
chr12:6194360-6194390	0.255539	0.042001	0.0580649	0.0120599
chr12:6286133-6286163	0.00283932	0.0630016	0.174195	0.0723597
chr12:6570135-6570165	0.198753	0.00210005	0.0387099	0.0602997
chr12:6728466-6728496	0.0283932	0.00210005	0.174195	0.0482398
chr12:7040400-7040430	0.170359	0.00210005	0.0019355	0.0241199
chr12:7280680-7280710	0.0567865	0.273007	0.19355	0.337678
chr12:7374712-7374742	0.0567865	0.273007	0.0774198	0.313559
chr12:7638832-7638862	0.312325	0.0630016	0.19355	0.253259
chr12:8532601-8532631	0.227146	0.00210005	0.0387099	0.0361798
chr12:8692558-8692588	0.00283932	0.126003	0.15484	0.120599
chr12:9602641-9602671	0.0283932	0.273007	0.019355	0.0844196
chr12:10042360-10042390	0.340719	0.042001	0.0580649	0.0964795
chr12:11696902-11696932	0.198753	0.042001	0.0019355	0.0482398
chr12:12684991-12685021	0.141966	0.315008	0.290324	0.410038
chr12:12690206-12690236	0.227146	0.00210005	0.0387099	0.0964795
chr12:12840109-12840139	0.0283932	0.0630016	0.15484	0.180899
chr12:13063470-13063500	0.198753	0.042001	0.019355	0.0361798
chr12:13125248-13125278	0.00283932	0.210005	0.174195	0.144719
chr12:13196065-13196095	0.0283932	0.105003	0.174195	0.156779
chr12:13422118-13422148	0.170359	0.0210005	0.0019355	0.0361798
chr12:13445786-13445816	0.198753	0.00210005	0.0774198	0.0602997
chr12:14176524-14176554	0.255539	0.0210005	0.0019355	0.0602997
chr12:14572573-14572603	0.0283932	0.105003	0.174195	0.0602997
chr12:14619148-14619178	0.0567865	0.105003	0.135485	0.253259
chr12:15153007-15153037	0.0283932	0.147004	0.0967748	0.217079
chr12:15662908-15662938	0.00283932	0.126003	0.174195	0.120599
chr12:19316575-19316605	0.0851797	0.105003	0.212905	0.349738
chr12:19415409-19415439	0.0283932	0.105003	0.0387099	0.156779
chr12:19683165-19683195	0.198753	0.0210005	0.0387099	0.0482398
chr12:19994993-19995023	0.227146	0.0630016	0.0967748	0.0361798
chr12:21341973-21342003	0.0283932	0.231006	0.0580649	0.217079
chr12:21350435-21350465	0.170359	0.0210005	0.0019355	0.0482398
chr12:21453046-21453076	0.198753	0.0630016	0.0019355	0.0241199
chr12:21454887-21454917	0.255539	0.00210005	0.0387099	0.00120599
chr12:22445565-22445595	0.198753	0.0210005	0.0019355	0.0602997
chr12:22508430-22508460	0.227146	0.00210005	0.0387099	0.132659
chr12:24012687-24012717	0.0851797	0.189005	0.0774198	0.229139
chr12:24779070-24779100	0.511078	0.357009	0.232259	0.422098
chr12:24922372-24922402	0.00283932	0.273007	0.0967748	0.132659
chr12:25387627-25387657	0.0283932	0.294007	0.11613	0.277379
chr12:25922827-25922857	0.198753	0.042001	0.0019355	0.0120599
chr12:26097155-26097185	0.0283932	0.105003	0.11613	0.217079
chr12:26552924-26552954	0.255539	0.00210005	0.019355	0.0241199
chr12:26823578-26823608	0.0567865	0.273007	0.15484	0.205019
chr12:26851183-26851213	0.0283932	0.126003	0.309679	0.289439
chr12:27010131-27010161	0.00283932	0.189005	0.11613	0.108539
chr12:27049329-27049359	0.198753	0.0210005	0.0967748	0.0361798
chr12:27319581-27319611	0.397505	0.273007	0.15484	0.337678
chr12:27771648-27771678	0.00283932	0.0210005	0.0774198	0.205019
chr12:27786031-27786061	0.0567865	0.252006	0.0387099	0.132659
chr12:27940987-27941017	0.0567865	0.105003	0.15484	0.289439
chr12:28313650-28313680	0.00283932	0.105003	0.251614	0.156779
chr12:28906545-28906575	0.227146	0.042001	0.019355	0.0241199
chr12:29073660-29073690	0.227146	0.0630016	0.0387099	0.0482398
chr12:30723788-30723818	0.227146	0.042001	0.019355	0.108539
chr12:31491913-31491943	0.0567865	0.252006	0.15484	0.301499
chr12:31732199-31732229	0.0283932	0.252006	0.0387099	0.108539
chr12:32083654-32083684	0.0567865	0.189005	0.0967748	0.289439
chr12:32382290-32382320	0.00283932	0.210005	0.0580649	0.0361798
chr12:32545824-32545854	0.0283932	0.042001	0.0774198	0.168839
chr12:32693093-32693123	0.00283932	0.189005	0.0580649	0.0723597
chr12:32708044-32708074	0.227146	0.0210005	0.0387099	0.0361798
chr12:39559908-39559938	0.170359	0.00210005	0.019355	0.0482398
chr12:40970501-40970531	0.0567865	0.252006	0.232259	0.313559
chr12:41253956-41253986	0.00283932	0.189005	0.0019355	0.0723597
chr12:41918195-41918225	0.255539	0.0630016	0.0967748	0.108539
chr12:42332478-42332508	0.312325	0.105003	0.290324	0.385918
chr12:42360939-42360969	0.00283932	0.147004	0.11613	0.253259
chr12:42504234-42504264	0.255539	0.147004	0.0387099	0.144719
chr12:43750488-43750518	0.00283932	0.210005	0.0967748	0.0482398
chr12:44931172-44931202	0.141966	0.231006	0.212905	0.168839
chr12:45169603-45169633	0.198753	0.00210005	0.0387099	0.0241199
chr12:46254816-46254846	0.198753	0.0630016	0.0019355	0.0361798
chr12:46320072-46320102	0.0851797	0.168004	0.0774198	0.205019
chr12:46387090-46387120	0.00283932	0.042001	0.19355	0.0361798
chr12:46446706-46446736	0.227146	0.168004	0.019355	0.144719
chr12:47156295-47156325	0.0851797	0.126003	0.0580649	0.229139
chr12:47669295-47669325	0.198753	0.042001	0.0580649	0.0361798
chr12:48087431-48087461	0.170359	0.00210005	0.0774198	0.0120599
chr12:49043958-49043988	0.0283932	0.0630016	0.15484	0.289439
chr12:49121626-49121656	0.227146	0.0630016	0.0387099	0.0361798
chr12:49170821-49170851	0.00283932	0.105003	0.19355	0.0361798
chr12:49198152-49198182	0.170359	0.0210005	0.019355	0.0723597
chr12:49462992-49463022	0.198753	0.042001	0.0580649	0.0120599
chr12:49931100-49931130	0.0283932	0.0630016	0.0967748	0.241199
chr12:50161349-50161379	0.227146	0.0840021	0.019355	0.0602997
chr12:50302981-50303011	0.227146	0.105003	0.0019355	0.0844196
chr12:50564728-50564758	0.198753	0.0210005	0.0387099	0.0120599
chr12:50747148-50747178	0.227146	0.042001	0.0774198	0.144719
chr12:51243869-51243899	0.0283932	0.231006	0.135485	0.0241199
chr12:51419070-51419100	0.255539	0.0630016	0.019355	0.0844196
chr12:51740724-51740754	0.425898	0.0840021	0.11613	0.217079
chr12:51885985-51886015	0.00283932	0.126003	0.0580649	0.205019
chr12:51987870-51987900	0.312325	0.0630016	0.019355	0.0723597
chr12:52728034-52728064	0.198753	0.00210005	0.0387099	0.0482398
chr12:53468389-53468419	0.198753	0.042001	0.0019355	0.0241199
chr12:54230767-54230797	0.312325	0.0840021	0.0774198	0.192959
chr12:54254413-54254443	0.198753	0.189005	0.0967748	0.0241199
chr12:54759912-54759942	0.00283932	0.126003	0.15484	0.205019
chr12:54838000-54838030	0.198753	0.00210005	0.0019355	0.0241199
chr12:55681570-55681600	0.0567865	0.315008	0.0580649	0.132659
chr12:55769152-55769182	0.227146	0.042001	0.0387099	0.0361798
chr12:56269339-56269369	0.00283932	0.0840021	0.212905	0.120599
chr12:56602302-56602332	0.00283932	0.105003	0.174195	0.0120599
chr12:57057851-57057881	0.283932	0.0210005	0.0580649	0.0361798
chr12:57263916-57263946	0.170359	0.483012	0.309679	0.361798
chr12:57706348-57706378	0.283932	0.042001	0.0387099	0.0602997
chr12:57794125-57794155	0.0283932	0.126003	0.251614	0.0723597
chr12:58916727-58916757	0.0283932	0.105003	0.19355	0.144719
chr12:59079644-59079674	0.0283932	0.273007	0.135485	0.0964795
chr12:59399353-59399383	0.00283932	0.0630016	0.15484	0.0120599
chr12:59608476-59608506	0.0283932	0.105003	0.0387099	0.217079
chr12:59891388-59891418	0.00283932	0.0840021	0.0580649	0.277379
chr12:60015781-60015811	0.198753	0.00210005	0.019355	0.0482398
chr12:60741504-60741534	0.198753	0.0840021	0.0387099	0.0241199
chr12:61836609-61836639	0.00283932	0.0630016	0.174195	0.0361798
chr12:61993942-61993972	0.227146	0.0210005	0.0580649	0.144719
chr12:62145011-62145041	0.198753	0.00210005	0.11613	0.0482398
chr12:62842039-62842069	0.0567865	0.126003	0.0774198	0.265319
chr12:63979521-63979551	0.0283932	0.210005	0.0580649	0.0723597
chr12:64187592-64187622	0.255539	0.00210005	0.11613	0.0723597
chr12:64440379-64440409	0.198753	0.0210005	0.0019355	0.0241199
chr12:64561274-64561304	0.0851797	0.315008	0.15484	0.156779
chr12:65335293-65335323	0.00283932	0.042001	0.0967748	0.217079
chr12:65625504-65625534	0.227146	0.042001	0.0580649	0.108539
chr12:65695717-65695747	0.227146	0.0840021	0.0774198	0.0602997
chr12:66057623-66057653	0.511078	0.105003	0.309679	0.277379
chr12:66140939-66140969	0.255539	0.168004	0.0580649	0.180899
chr12:66192847-66192877	0.227146	0.042001	0.0019355	0.0361798
chr12:66396066-66396096	0.0283932	0.189005	0.0774198	0.205019
chr12:67943450-67943480	0.454292	0.147004	0.11613	0.289439
chr12:68290647-68290677	0.227146	0.00210005	0.019355	0.0361798
chr12:68317247-68317277	0.0851797	0.315008	0.290324	0.265319
chr12:68400314-68400344	0.0567865	0.105003	0.0967748	0.192959
chr12:68557434-68557464	0.0283932	0.105003	0.19355	0.0844196
chr12:68823333-68823363	0.227146	0.042001	0.0967748	0.0361798
chr12:68842909-68842939	0.198753	0.0840021	0.0580649	0.0120599
chr12:69563081-69563111	0.227146	0.042001	0.0387099	0.0241199
chr12:70395409-70395439	0.227146	0.00210005	0.0774198	0.0120599
chr12:70726214-70726244	0.198753	0.0210005	0.0387099	0.0482398
chr12:70728377-70728407	0.255539	0.0210005	0.0387099	0.120599
chr12:71614875-71614905	0.00283932	0.189005	0.0019355	0.0482398
chr12:71747162-71747192	0.454292	0.462012	0.212905	0.361798
chr12:73716653-73716683	0.198753	0.00210005	0.0774198	0.0120599
chr12:74337889-74337919	0.170359	0.00210005	0.0580649	0.00120599
chr12:75191977-75192007	0.198753	0.0630016	0.0019355	0.0482398
chr12:75390713-75390743	0.0567865	0.0630016	0.212905	0.0723597
chr12:75437732-75437762	0.0567865	0.189005	0.11613	0.205019
chr12:75983427-75983457	0.00283932	0.105003	0.019355	0.192959
chr12:76656469-76656499	0.00283932	0.168004	0.019355	0.0723597
chr12:76661806-76661836	0.227146	0.0630016	0.11613	0.108539
chr12:76688810-76688840	0.00283932	0.126003	0.19355	0.156779
chr12:76735157-76735187	0.227146	0.0630016	0.0387099	0.0241199
chr12:76780518-76780548	0.00283932	0.0210005	0.174195	0.0602997
chr12:76821084-76821114	0.0567865	0.378009	0.19355	0.192959
chr12:77133728-77133758	0.170359	0.378009	0.522584	0.337678
chr12:77300412-77300442	0.0851797	0.168004	0.019355	0.325618
chr12:77409158-77409188	0.00283932	0.00210005	0.19355	0.0120599
chr12:77665523-77665553	0.227146	0.0210005	0.0019355	0.0482398
chr12:77943644-77943674	0.283932	0.0630016	0.0967748	0.229139
chr12:78146433-78146463	0.283932	0.0840021	0.0580649	0.325618
chr12:79174891-79174921	0.0567865	0.126003	0.19355	0.277379
chr12:79454471-79454501	0.0567865	0.273007	0.11613	0.241199
chr12:79916979-79917009	0.170359	0.00210005	0.0774198	0.0482398
chr12:80009570-80009600	0.198753	0.042001	0.019355	0.00120599
chr12:80313320-80313350	0.0283932	0.105003	0.15484	0.265319
chr12:80336785-80336815	0.198753	0.042001	0.0019355	0.0602997
chr12:81648825-81648855	0.170359	0.00210005	0.019355	0.0844196
chr12:83522892-83522922	0.198753	0.0210005	0.0387099	0.0482398
chr12:83943647-83943677	0.198753	0.042001	0.019355	0.0241199
chr12:84061095-84061125	0.227146	0.0210005	0.0387099	0.0120599
chr12:85029615-85029645	0.397505	0.357009	0.11613	0.397978
chr12:85628155-85628185	0.283932	0.042001	0.0580649	0.120599
chr12:85920509-85920539	0.369112	0.126003	0.251614	0.373858
chr12:85923911-85923941	0.0567865	0.273007	0.212905	0.470338
chr12:86440940-86440970	0.00283932	0.189005	0.019355	0.0482398
chr12:88065555-88065585	0.198753	0.0630016	0.019355	0.0120599
chr12:88153638-88153668	0.198753	0.0630016	0.019355	0.0120599
chr12:88458092-88458122	0.198753	0.042001	0.019355	0.0602997
chr12:88467970-88468000	0.227146	0.042001	0.0387099	0.0241199
chr12:88506644-88506674	0.198753	0.0210005	0.0387099	0.0482398
chr12:88868695-88868725	0.227146	0.0210005	0.0580649	0.00120599
chr12:89191025-89191055	0.198753	0.00210005	0.0580649	0.0723597
chr12:89389949-89389979	0.00283932	0.168004	0.19355	0.0241199
chr12:89397627-89397657	0.00283932	0.105003	0.0580649	0.168839
chr12:89782179-89782209	0.170359	0.0210005	0.019355	0.0120599
chr12:90921125-90921155	0.198753	0.0210005	0.0387099	0.0723597
chr12:91048213-91048243	0.00283932	0.0630016	0.19355	0.0361798
chr12:92002791-92002821	0.00283932	0.0630016	0.174195	0.120599
chr12:92169176-92169206	0.0283932	0.210005	0.0387099	0.0844196
chr12:92505428-92505458	0.00283932	0.189005	0.019355	0.0602997
chr12:92650133-92650163	0.0851797	0.231006	0.135485	0.0964795
chr12:93365729-93365759	0.00283932	0.168004	0.0967748	0.241199
chr12:94619145-94619175	0.0283932	0.315008	0.174195	0.217079
chr12:94929817-94929847	0.170359	0.0210005	0.0580649	0.0120599
chr12:95184264-95184294	0.198753	0.0210005	0.019355	0.0241199
chr12:95228556-95228586	0.255539	0.042001	0.0967748	0.0361798
chr12:95277803-95277833	0.255539	0.042001	0.0387099	0.0241199
chr12:95282059-95282089	0.227146	0.0630016	0.019355	0.0361798
chr12:95299809-95299839	0.198753	0.00210005	0.0387099	0.0482398
chr12:95336638-95336668	0.0567865	0.042001	0.15484	0.168839
chr12:95674895-95674925	0.0283932	0.231006	0.232259	0.241199
chr12:95774981-95775011	0.0283932	0.147004	0.0774198	0.265319
chr12:95918665-95918695	0.170359	0.525013	0.251614	0.373858
chr12:96201118-96201148	0.198753	0.0630016	0.0387099	0.0241199
chr12:96312339-96312369	0.0283932	0.105003	0.212905	0.108539
chr12:96592809-96592839	0.198753	0.0630016	0.019355	0.0241199
chr12:96645096-96645126	0.198753	0.00210005	0.0387099	0.0361798
