symbol	log2FoldChange	padj
HDGFL3	0.45891822	0.007843322
B4GALT6	0.461001224	0.001031894
C1orf21	0.461537303	0.022110872
GULP1	0.462387404	0.024348448
GNPDA2	0.465279657	0.015682937
BZW1P2	0.466792825	0.036347896
SH3BGRL	0.46763045	0.001175801
RNF219	0.46835464	0.003644628
METTL14	0.469760809	0.020847726
ATG12	0.470262651	0.003989198
ARL15	0.470932746	0.022661904
CROT	0.471535309	0.015682937
SULF1	0.475660156	0.048517037
ACKR4	0.476715147	0.031669748
NUCB2	0.478278793	0.001844817
GIMAP4	0.478973211	0.002004054
PDGFD	0.480905805	0.016432204
SLC35A1	0.482124142	0.006851132
TFPI	0.484683131	0.005347301
BISPR	0.48891375	0.049095894
TMEM267	0.492867151	0.017824233
LRIF1	0.493725661	0.003644628
AC009119.1	0.494644771	0.030781736
CCNT1	0.49512561	0.049325064
CHRNA1	0.495453442	0.046927635
FKBP14	0.498019717	0.021575406
ZNF608	0.498902628	0.019794135
SPCS2	0.500257558	0.002093497
ARL4A	0.50101791	0.000736796
DHX40	0.501800671	0.003495812
RNF2	0.504088823	0.005091429
ZNF302	0.504935696	0.005366764
GIMAP2	0.50951844	0.011026916
CXCR4	0.511949964	0.003814384
PLCB1	0.51226451	0.003195738
PPIL4	0.513991261	0.00019414
RDX	0.516875571	0.008456549
RNF170	0.517248464	0.009452112
PPP4R2	0.519414125	0.000573423
PPP2R2A	0.520774658	0.001669342
EIF3E	0.522544724	0.003255331
NAALAD2	0.523277174	0.009452112
TMEM71	0.525783885	0.041107409
CHST15	0.526431094	0.027919905
TRIM23	0.52829732	0.011442951
MTO1	0.529548813	0.018406348
POSTN	0.53110184	0.009129064
MIR99AHG	0.531143418	0.031854696
DDIT4	0.531463153	0.003867673
NUB1	0.532583052	0.001681031
SNX16	0.533482693	0.00900708
CD302	0.539710581	0.002004054
YIPF6	0.542528091	0.00335897
PRCP	0.543033922	0.000291871
DUSP6	0.543478777	2.07E-08
C10orf10	0.544210078	0.003772583
GIMAP7	0.547243871	0.0026696
VAT1L	0.547799218	0.04387043
FAM13B	0.551043574	0.009143039
OMA1	0.553812384	0.032821843
LYN	0.555921775	0.034369111
UQCRC2	0.559651684	0.002065569
ICA1	0.560346582	0.020847726
LEPR	0.564029009	0.012364238
PEX2	0.564371913	0.006976246
ACOT1	0.56452842	0.01750345
NSUN3	0.570202499	0.046611433
IER3IP1	0.571952664	0.001392835
ZNF420	0.578583956	0.036460307
FGGY	0.57867866	0.015682937
ERGIC2	0.580233356	9.19E-06
IL33	0.583860332	0.013552259
DTL	0.584218288	0.008307672
ZNF436	0.590580054	0.000329672
A2M	0.597949721	0.018074317
ADM	0.610134081	1.06E-08
PLEKHA3	0.620792371	0.00101963
ZNF720	0.621071685	0.018977792
ZNF720	0.621071685	0.018977792
NA	0.630262846	0.040407652
NAMPTP1	0.632569738	0.001194268
BHLHE40	0.646688789	9.80E-06
TNFSF10	0.649432186	0.000291871
CD36	0.649603529	0.033993927
ZNF92	0.653981612	0.000609084
FAM3C2	0.66026705	0.005374012
OAS2	0.6623211	0.0026696
ABCG2	0.666158373	0.03799903
LYVE1	0.671088119	1.85E-09
GOLT1B	0.705225094	0.009452112
AC068547.1	0.719139888	0.041227194
SLC30A1	0.724618386	2.67E-05
ANKRD37	0.758328871	0.030541766
AC060766.1	0.763039676	0.025661533
LINC02154	0.770344576	0.025896966
LGALSL	0.806183886	0.023411437
BTF3L4P2	0.829678823	0.03127232
RAD51B	0.836233487	0.04738405
AC087632.1	0.840724216	0.009452383
RGPD2	0.853680586	0.049607167
SERTAD4	0.861225528	0.024936033
PPP1R3C	0.865441045	0.000530144
ARRDC3	0.866406949	3.36E-07
GPC5	0.875647002	0.012547301
ISY1-RAB43	0.889422799	0.0015417
ZNF737	0.889673215	0.038696327
TMEM154	0.934325389	0.028630307
LY75-CD302	0.93534279	0.019462856
ZNF615	0.958308502	0.004811857
TMEM116	0.989237655	0.039086113
CU633904.1	1.079300253	0.024425257
CFAP44	1.137467485	0.02997044
EGLN3	2.039498381	0.001055439
AC074033.1	2.330290243	0.019645829
SNURF	2.334921544	0.000992047
AL139011.2	3.19899937	0.020296649
